# author: E. Wes Bethel, Oct 2022
# sample data for use with the plot_3vars.py file
Problem Size, Direct, Vector, Indirect, code 4, code 5, code 6, code 7, code 8, code 9
8388608, 12119.724700453429, 12446.557593333624, 65.039458545207, 0.000000000000, 0.000000000000, 0.000000000000, 0, 0.000000000077, 0.000000014663
16777216, 14054.418709242185, 12732.750703882375, 155.081558894175, 0.000000000000, 0.000000000000, 0.000000000000, 0, 0.000000000075, 0.000000006150
33554432, 12518.664190247278, 13060.358645363771, 658.546009436685, 0.000000000000, 0.000000000000, 0.000000000000, 0, 0.000000000075, 0.000000001493
67108864, 13633.625811912942, 13563.584972924453, 34.232903720900, 0.000000000000, 0.000000000000, 0.000000000000, 0, 0.000000000074, 0.000000029164
134217728, 13332.731038816753, 13020.184297793770, 171.098087555978, 0.485830043101, 0.474441183892, 0.006234625975, 0, 0.000000000077, 0.000000005835
268435456, 13341.722024026847, 13445.179163283423, 30.847482935633, 0.486157664705, 0.489927528979, 0.001124048323, 0, 0.000000000074, 0.000000032365
